NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Alex Len,lenal01,31,C,1.4,0.8,1.8,0.2,0.5,https://www.basketball-reference.com/players/l/lenal01.html
Jordan McLaughlin,mclaujo01,28,PG,1.9,0.9,0.8,0.4,0.0,https://www.basketball-reference.com/players/m/mclaujo01.html
Orlando Robinson,robinor01,24,C,2.1,1.0,1.6,0.3,0.1,https://www.basketball-reference.com/players/r/robinor01.html
Colby Jones,jonesco02,22,SG,1.1,0.3,1.0,0.3,0.3,https://www.basketball-reference.com/players/j/jonesco02.html
Mason Jones,jonesma05,26,SG,2.3,1.1,0.9,0.0,0.1,https://www.basketball-reference.com/players/j/jonesma05.html
Isaiah Crawford,crawfis01,23,SF,0.9,0.1,0.5,0.1,0.1,https://www.basketball-reference.com/players/c/crawfis01.html
Skal Labissière,labissk01,28,PF,1.3,0.3,0.8,0.0,0.0,https://www.basketball-reference.com/players/l/labissk01.html
Terry Taylor,taylote01,25,PF,0.0,0.7,0.3,0.0,0.0,https://www.basketball-reference.com/players/t/taylote01.html
De'Aaron Fox,foxde01,27,PG,19.7,6.8,4.3,1.5,0.3,https://www.basketball-reference.com/players/f/foxde01.html
Victor Wembanyama,wembavi01,21,C,24.3,3.7,11.0,1.1,3.8,https://www.basketball-reference.com/players/w/wembavi01.html
Devin Vassell,vassede01,24,SG,16.3,2.9,4.0,1.3,0.5,https://www.basketball-reference.com/players/v/vassede01.html
Chris Paul,paulch01,39,PG,8.8,7.4,3.6,1.3,0.3,https://www.basketball-reference.com/players/p/paulch01.html
